vuelo,direccion,horario_local,horario_real,horario_estimado,estado,origen_destino,aeropuerto_iata,ruta,aerolinea_codigo,aerolinea_nombre,aerolinea_color,puerta,sector,matricula,modelo_avion,fabricante,icao_type_code,icao24_hex,operador,fuentes,id_externo,confianza,_nota,asientos
882,Arrival,2026-09-18T00:12,2026-09-18T00:20,,Aterrizó,Panamá (PTY),PTY,PTY → ROS,CM,Copa Airlines,#15349E,,,HP-9802CMP,Boeing 737 MAX 8,Boeing,B38M,0c21a4,Copa Airlines,fids+fr24,b7f271cc-0d26-447a-8ee7-d3f2523f3c90,real,histórico FR24,166
7722,Arrival,2026-09-18T01:10,2026-09-18T01:13,,Aterrizó,Río de Janeiro (GIG),GIG,GIG → ROS,G3,GOL Linhas Aéreas,#E27B2E,,,PS-GPD,Boeing 737 MAX 8,Boeing,B38M,e49956,,fids+fr24,9676c429-1fd0-427d-9417-c5dbde891194,historico,histórico FR24,186
836,Departure,2026-09-18T01:23,2026-09-18T01:41,,Despegó,Panamá (PTY),PTY,ROS → PTY,CM,Copa Airlines,#15349E,6,B,HP-9802CMP,Boeing 737 MAX 8,Boeing,B38M,0c21b9,,fids+fr24,3de6fc63-949c-46f5-8e76-236ec886f869,historico,histórico FR24,166
7723,Departure,2026-09-18T02:10,2026-09-18T02:15,,Despegó,Río de Janeiro (GIG),GIG,ROS → GIG,G3,GOL Linhas Aéreas,#E27B2E,7,B,PS-GPD,Boeing 737 MAX 8,Boeing,B38M,e49956,,fids+fr24,ae6ba3df-ce19-4658-ae27-e20886f9032e,historico,histórico FR24,186
6676,Arrival,2026-09-18T02:33,2026-09-18T02:10,,Aterrizó,Punta Cana (PUJ),PUJ,PUJ → ROS,DM,Arajet,#482C72,,,HI1103,Boeing 737 MAX 8,Boeing,B38M,0c4356,Arajet,fids+fr24,f1c1184d-7198-471e-85ff-994d415637f2,real,histórico FR24,185
6677,Departure,2026-09-18T03:39,2026-09-18T03:43,,Despegó,Punta Cana (PUJ),PUJ,ROS → PUJ,DM,Arajet,#482C72,6,B,HI1103,Boeing 737 MAX 8,Boeing,B38M,0c4356,Arajet,fids+fr24,11d5013d-b6c2-4c94-bcd5-dcfa5445467b,historico,histórico FR24,185
899,Arrival,2026-09-18T03:47,2026-09-18T03:16,,Aterrizó,Panamá (PTY),PTY,PTY → ROS,CM,Copa Airlines,#15349E,,,HP-9818CMP,Boeing 737-800,Boeing,B738,0c21fa,,fids+fr24,731a0f2f-5443-4d36-91a0-7c48b732478f,historico,histórico FR24,160
897,Departure,2026-09-18T05:09,2026-09-18T05:12,,Despegó,Panamá (PTY),PTY,ROS → PTY,CM,Copa Airlines,#15349E,7,B,HP-9814CMP,Boeing 737 MAX 8,Boeing,B38M,0c21de,,fids+fr24,dc92539f-bc4a-47b5-bf11-89cd0a18774f,historico,histórico FR24,166
2432,Arrival,2026-09-18T06:10,2026-09-18T05:40,,Aterrizó,Lima (LIM),LIM,LIM → ROS,LA,LATAM Airlines,#0B044E,,,CC-CPM,Airbus A319-132,Airbus,A319,e80260,,fids+fr24,fbc63f81-ec97-45b8-b33c-872857f56b69,real,,144
1708,Arrival,2026-09-18T07:30,2026-09-18T07:23,,Aterrizó,Aeroparque (AEP),AEP,AEP → ROS,AR,Aerolíneas Argentinas,#467FBC,,,LV-CDY,Embraer E190AR,Embraer,E190,e03119,,fids+fr24,d677c888-08c2-4bff-802a-7c7c28a0d353,real,modelo del cache,96
2433,Departure,2026-09-18T07:40,2026-09-18T07:44,,Despegó,Lima (LIM),LIM,ROS → LIM,LA,LATAM Airlines,#0B044E,7,B,CC-CPM,Airbus A319-132,Airbus,A319,e80260,,fids+fr24,edc6eee2-dd4b-4ef0-9c4c-44e6c610b67e,real,,144
1709,Departure,2026-09-18T08:00,2026-09-18T08:07,,Despegó,Aeroparque (AEP),AEP,ROS → AEP,AR,Aerolíneas Argentinas,#467FBC,3,A,LV-CDY,Embraer E190AR,Embraer,E190,e03119,,fids+fr24,a2ea1725-13f7-4e58-a551-c372cede6ba7,real,modelo del cache,96
1704,Arrival,2026-09-18T09:40,2026-09-18T09:49,,Aterrizó,Bariloche (BRC),BRC,BRC → ROS,AR,Aerolíneas Argentinas,#467FBC,,,LV-GGQ,Boeing 737-800,Boeing,B738,e071d1,,fids+fr24,1f84d5d6-db5b-4f1e-a023-16fea5b54d8d,real,,170
1715,Departure,2026-09-18T10:20,2026-09-18T10:42,,Despegó,Aeroparque (AEP),AEP,ROS → AEP,AR,Aerolíneas Argentinas,#467FBC,3,A,LV-GGQ,Boeing 737-800,Boeing,B738,e0340a,Aerolineas Argentinas,fids+fr24,364d2a87-ce68-458c-9b67-d918a12a0395,real,,170
8170,Arrival,2026-09-18T11:40,,,Aterrizó,São Paulo (GRU),GRU,GRU → ROS,LA,LATAM Airlines,#0B044E,,,PR-TQC,Airbus A320-214,AIRBUS,A320,e49763,LATAM Airlines,fids+fr24,cfafa1f3-bbcb-4e2c-a299-5c95155b9d50,real,,174
8171,Departure,2026-09-18T12:40,2026-09-18T13:08,,Despegó,São Paulo (GRU),GRU,ROS → GRU,LA,LATAM Airlines,#0B044E,7,B,PR-TQC,Airbus A320-214,AIRBUS,A320,e49763,LATAM Airlines,fids+fr24,01e6efa0-f986-4d1f-b7ab-efa77895a877,real,,174
1716,Arrival,2026-09-18T16:25,2026-09-18T17:30,2026-09-18T17:20,Aterrizó,Aeroparque (AEP),AEP,AEP → ROS,AR,Aerolíneas Argentinas,#467FBC,,,LV-FYK,Boeing 737-800,Boeing,B738,e0664b,,fids+fr24,5ce638cf-7a8b-440b-86d9-198081a1aca9,real,,170
1705,Departure,2026-09-18T17:15,2026-09-18T18:30,2026-09-18T18:00,Despegó,Bariloche (BRC),BRC,ROS → BRC,AR,Aerolíneas Argentinas,#467FBC,3,A,LV-FYK,Boeing 737-800,Boeing,B738,e0664b,,fids+fr24,8b18bb05-dc1e-40bb-834f-3419ee8388c2,real,,170
1076,Arrival,2026-09-18T18:50,2026-09-18T18:44,,Aterrizó,Aeroparque (AEP),AEP,AEP → ROS,AR,Aerolíneas Argentinas,#467FBC,,,,Boeing 737-800,Boeing,B738,,,fids,0aa57c13-2051-41a9-afba-f6925d59a518,cache_modelo,modelo del cache,170
1976,Departure,2026-09-18T19:30,2026-09-18T19:42,,Despegó,Santa Cruz Viru Viru (VVI),VVI,ROS → VVI,AR,Aerolíneas Argentinas,#467FBC,6,B,,Boeing 737-800,Boeing,B738,,,fids,6f2273c4-eb7f-4963-90a3-5c18a942cf12,cache_modelo,modelo del cache,170
